Latitude,Longitude
39.9385687,32.8939288
39.9380557,32.8943664
39.9376521,32.8947091
39.9375653,32.8947757
39.9372482,32.8950188
39.9367159,32.8954442
39.9363556,32.8958082
39.9361596,32.8959739
39.9360688,32.8960725
39.9358539,32.8963295
39.9356624,32.8965886
39.9355208,32.8967972
39.9355043,32.8968217
39.9353524,32.8970682
39.9352088,32.8973455
39.9351002,32.8975688
39.9350364,32.8976971
39.9349834,32.8978186
39.9348779,32.8980601
39.9347418,32.8984471
39.9346722,32.8986453
39.9346070,32.8988633
39.9343409,32.8998426
39.9338990,32.9015649
39.9336065,32.9025535
39.9334191,32.9032244
39.9333980,32.9033162
39.9333621,32.9034673
39.9332871,32.9038196
39.9332712,32.9038932
39.9332433,32.9041428
39.9332155,32.9043920
39.9329466,32.9058788
39.9326596,32.9074658
39.9326316,32.9076142
39.9326033,32.9077625
39.9325800,32.9078798
39.9324388,32.9085222
39.9323101,32.9090197
39.9321558,32.9094820
39.9319838,32.9099048
39.9316359,32.9106866
39.9314352,32.9111895
39.9313097,32.9115227
39.9312680,32.9116331
39.9311728,32.9118862
39.9310286,32.9122883
39.9309676,32.9124431
39.9309066,32.9125977
39.9308870,32.9126380
39.9306878,32.9130988
39.9305368,32.9134020
39.9305145,32.9134467
39.9303576,32.9137355
39.9302354,32.9139400
39.9300835,32.9141719
39.9298711,32.9144574
39.9298493,32.9144830
39.9294498,32.9149559
39.9291208,32.9153449
39.9290084,32.9154798
39.9288959,32.9156146
39.9285939,32.9159729
39.9285518,32.9160240
39.9285097,32.9160751
39.9281118,32.9165504
39.9274966,32.9172856
39.9272859,32.9175941
39.9270523,32.9180189
39.9269147,32.9182859
39.9269136,32.9182879
39.9267475,32.9186601
39.9265932,32.9190689
39.9264877,32.9193992
39.9264447,32.9195497
39.9263818,32.9197695
39.9263736,32.9197984
39.9262795,32.9202190
39.9262593,32.9203093
39.9262036,32.9206260
39.9261921,32.9206965
39.9261701,32.9208563
39.9261383,32.9210872
39.9261372,32.9210952
39.9261151,32.9213198
39.9260695,32.9217850
39.9260466,32.9220175
39.9260236,32.9222502
39.9260143,32.9223452
39.9259576,32.9230013
39.9259138,32.9233888
39.9259051,32.9234655
39.9258753,32.9237289
39.9258299,32.9240550
39.9258145,32.9241589
39.9257611,32.9245206
39.9256558,32.9250621
39.9255706,32.9253738
39.9254762,32.9256988
39.9253713,32.9259884
39.9252868,32.9261874
39.9252026,32.9263790
39.9250990,32.9265900
39.9249838,32.9267974
39.9248264,32.9270685
39.9247340,32.9272239
39.9243791,32.9277756
39.9241526,32.9281394
39.9238634,32.9285958
39.9236059,32.9290362
39.9234138,32.9294130
39.9232879,32.9296833
39.9231764,32.9299592
39.9229976,32.9304273
39.9228439,32.9308335
39.9226312,32.9314605
39.9224244,32.9321298
39.9224227,32.9321351
39.9224162,32.9321580
39.9221107,32.9332419
39.9220510,32.9334502
39.9219516,32.9337968
39.9219091,32.9339256
39.9217598,32.9343439
39.9216947,32.9344802
39.9216864,32.9344985
39.9216011,32.9346721
39.9215920,32.9346900
39.9214713,32.9349260
39.9213346,32.9351930
39.9211756,32.9354542
39.9211268,32.9355342
39.9207282,32.9360793
39.9205874,32.9362680
